,Aspect,Opinion,ID,Text,Valence,Arousal,BIOES
0,масло оливковое,можно купить,24578:18_996,Еще можно купить домой масло оливковое.,6.12,5.38,"['EMB_O', 'EMB_O', 'EMB_O', 'OPN_B', 'OPN_I', 'OPN_I', 'OPN_E', 'EMB_O', 'ASP_B', 'ASP_I', 'ASP_I', 'ASP_I', 'ASP_I', 'ASP_E', 'EMB_O', 'EMB_O', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P']"
1,Зал,замечательный,24713:1_997,Зал замечательный.,7.8,7.1,"['EMB_O', 'ASP_B', 'ASP_E', 'OPN_B', 'OPN_I', 'OPN_I', 'OPN_I', 'OPN_E', 'EMB_O', 'EMB_O', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P']"
2,меню,среднее,24713:3_998,Мы выбрали среднее в ценовой категории меню.,5.0,16.5,"['EMB_O', 'EMB_O', 'EMB_O', 'EMB_O', 'OPN_B', 'OPN_E', 'EMB_O', 'EMB_O', 'EMB_O', 'EMB_O', 'ASP_B', 'ASP_E', 'EMB_O', 'EMB_O', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P']"
3,закусок,небольшое,24713:4_999,"Когда пришли, меня удивило небольшое кол-во закусок.",3.33,5.67,"['EMB_O', 'EMB_O', 'EMB_O', 'EMB_O', 'EMB_O', 'EMB_O', 'EMB_O', 'EMB_O', 'EMB_O', 'EMB_O', 'OPN_B', 'OPN_I', 'OPN_I', 'OPN_E', 'EMB_O', 'EMB_O', 'EMB_O', 'ASP_B', 'ASP_I', 'ASP_E', 'EMB_O', 'EMB_O', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P']"
4,Сырная тарелка,поразила засохшим сыром,24713:6_1000,Сырная тарелка поразила засохшим сыром.,1.67,7.67,"['EMB_O', 'ASP_B', 'ASP_I', 'ASP_I', 'ASP_I', 'ASP_I', 'ASP_E', 'OPN_B', 'OPN_I', 'OPN_I', 'OPN_I', 'OPN_I', 'OPN_I', 'OPN_I', 'OPN_I', 'OPN_I', 'OPN_E', 'EMB_O', 'EMB_O', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P']"
5,сыром,засохшим,24713:6_1000,Сырная тарелка поразила засохшим сыром.,2.0,7.5,"['EMB_O', 'EMB_O', 'EMB_O', 'EMB_O', 'EMB_O', 'EMB_O', 'EMB_O', 'EMB_O', 'EMB_O', 'EMB_O', 'OPN_B', 'OPN_I', 'OPN_I', 'OPN_E', 'ASP_B', 'ASP_I', 'ASP_E', 'EMB_O', 'EMB_O', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P']"
6,Фрукты,на последнем издыхании,24713:7_1001,Фрукты были на последнем издыхании.,1.5,7.75,"['EMB_O', 'ASP_B', 'ASP_I', 'ASP_E', 'EMB_O', 'OPN_B', 'OPN_I', 'OPN_I', 'OPN_I', 'OPN_I', 'OPN_E', 'EMB_O', 'EMB_O', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P']"
7,салаты,ужас,24713:8_1002,Когда попробовала салаты- пришла в ужас.,1.33,8.33,"['EMB_O', 'EMB_O', 'EMB_O', 'EMB_O', 'EMB_O', 'EMB_O', 'ASP_B', 'ASP_E', 'EMB_O', 'EMB_O', 'EMB_O', 'EMB_O', 'OPN_B', 'OPN_I', 'OPN_E', 'EMB_O', 'EMB_O', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P']"
8,Еда,понравилась,24713:11_1003,Еда понравилась.,6.9,6.3,"['EMB_O', 'ASP_B', 'ASP_E', 'OPN_B', 'OPN_I', 'OPN_I', 'OPN_E', 'EMB_O', 'EMB_O', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P']"
9,Горячее,не понравилось,24713:13_1004,Горячее тоже не понравилось.,2.9,6.4,"['EMB_O', 'ASP_B', 'ASP_I', 'ASP_I', 'ASP_E', 'EMB_O', 'OPN_B', 'OPN_I', 'OPN_I', 'OPN_I', 'OPN_E', 'EMB_O', 'EMB_O', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P', 'EMB_P']"
